,original_sentences,adversarial_sentences
576,"accordingly. I repeat, just text the word ok on your mobile phone and send",Get the word out on your mobile phone and send
577,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge,"The Xbox One X now comes in two sizes, with new features and great graphics from Nvidia. Buy for just £5 by replying GETTY and take the challenge"
578,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,"1if you're lucky, today is your lucky day!2find out why log onto the site and THERE'S A FANTASTIC SURPRISE AWAITING YOU!"
579,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,Karen (25/F) is inviting you to be her guest on FRND or NO-440 See her: Facebook | Twitter | Send email to FRND to 62468
580,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !","Important Important information: Today is your lucky day! 2 find out why, log onto your account and there is a reward awaiting you!"
581,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"WINNER!! As soon as you claim your prize, you have been selected to receive a £900 cash reward! To claim, call 09061701461. Claim code KL341. Valid 12 hours only."
582,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,"Copyright (c) 2018 Sunbeam Television - All rights reserved. PO Box 1013, OJA"
583,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,HMV BONUS You can order 500 pounds of HMV to be delivered today. Just answer 4 easy questions. Now! Send HMV at 86688 More info
584,Please CALL 08712402578 immediately as there is an urgent message waiting for you,There is as much as there is waiting for you
585,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,This app lets you send anonymous messages by sending this message from there..do you see the potential for this?
586,"WELL DONE! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins","WELL DONE! Season 4* Costa Del Sol is back in action and we await your return! Call 09050090044 Now Available: SAE, TCs, POBox334, Stockport, SK38xh, Cost£1.50/pm, £2.50"
587,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,Someone you know has been using this service 2 contact you! Guess who? CALL 09058091854 NOW all will be sent to PO Box M6 6WU
588,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm","3G 2 mobile 3G 3G 4G 2.5G is yours. call 09061744553 now! videochat widows, chat with mates, play java games, play polyH music, play bx420. ip4. 5we. 150pm"
589,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,U-I have a secret admirer who is helping 2 make contact with U-find out who they are and what they are doing so contact me on 09058094597
590,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,"important: if orange is your color, today is your lucky day to get out and log onto Facebook. THERE'S A FANTASTIC SURPRISE AWAITING YOU!"
591,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p","If your phone service has been disconnected 2 contact U by phone or SMS CALL 09058091870 NOWThe service will be available on POBox84, M26 3UZ 150p"
592,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,Do you want a new handset? Can you call any time you have a UNLIMITED Camcorder? Reply or Call now 08000930705Published at 11:00 AM
593,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!","Ur balance is now up! Next time you see a landmark, do you see A. Bob, B. Barry or C. Barry?. Text A, B or C to me. Good luck!"
594,Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,Urgent: Your licence has been renewed and you have been charged. You can choose 10 more times this year. MSG*
595,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy","If you don't, your information will go to another website at www.t-c.biz/c-c-b.Address: Suite 373 London W1J 6HL Please call back if busy"
596,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,Do you want a New Nokia 3510i Mobile Phone Delivered To Your Phone With 200 FREE minutes on any mobile + 100 FREE text + FREE voice calls? Register here or Call 8000930705
597,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,You have ordered a pizza. Your order.
598,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,As one of our registered users u can enter the code 4 a 100 G.B.T. by replying with the code To: STOP
599,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""","For a chance to win a FREE ticket, simply log back with:"
600,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324,... b floppy... b snappy & happy! Only available on our service with upload call 08718730666 (10p/min). Only available with upload on our website. Only available in our app with upload calling 08712460324
601,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","To receive a complimentary trip to Trav, text OrSglSuplt To txt DIS to 87121 (or ShrAcomOrSglsuplt)10, LS1 3AJ"
602,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123","Welcome to the world, this msg is FREE giving you free access to 08719839835. You will be billed at 150p. To sign up, send ""go stop"" to 89123"
603,3. You have received your mobile content. Enjoy,advertisement
604,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,rawdownloadcloneembedreportprint text 0.30 KB 30 02073162414 now! 20p/min
605,"Latest Nokia Mobile or iPOD MP3 Player +£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.£1,50/Mtmsgrcvd18+","£300/Mtmsgrcvd18 Mobile or iPOD MP3 Player +£400/MP3 Player+Bring your WIN to 83355 now! Norcorp Ltd.£1,50/MttmsgrCvd18+"
606,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE","To unsubscribe from your inclusive email list pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help us out! 9AE"
607,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,1. Choose any of the top 7cfca1a
608,Money i have won wining number 946 wot do i do next,I have no idea wot do do next
609,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm","3G 2 mobile 3G 3G 4G 2.5G is yours. call 09061744553 now! videochat widows, chat with mates, play java games, play polyH music, play bx420. ip4. 5we. 150pm"
610,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )","I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt rec to 89938 for £1.50ea. OTBox 731 LA1 (Txt rec £2ea. ) Txt Rec to 87938 for $2.00ea. (Box 7 31 LA1 )"
611,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,A new service - live sex video chat with your mob - see the sexiest guys and girls live on your phone - for more details text horny to 89070 to get in touch - or send a text message about your sex life to eight9070
612,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,"Hi guys, Hi guys, wow just got a new pic. Wanna C a hot pic? or do you want to have a chat?Im w8in 4uTxt / 08712317606 CHAT to 82242/ 087 12317606 Msg150p 2rcv"
613,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,"Wanna have a chat with a friend? You can do so on your mobile now! Help by txting the word: CHAT and send it to No: 8883 CM PO Box 4217, W1A 6ZF.Source: rcvd"
614,"""URGENT! This is the 2nd attempt to contact U!U have WON £1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max£7. 50""","NOTE: This is the 2nd attempt to have £1000CALL 09071512432 b4"" 50"""
615,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,1. Get 500 of CD vouchers or more guaranteed & Free entry 2. Text txt MUSIC to 87066
616,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records","Download your new mobile 11.1 from Motorola, Nokia etc. all FREE! Double Mins & Texts: YES for callback, no to remove from records Double MINS & Text YES forcallback, no TO remove from record"
617,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+","For more information call 09066350750 from your hotel. Your complimentary 4* Ibiza Holiday or 10,000 Ibiza Days await. T&Cs PO BOX 434 SK3 8WP"
618,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk","Enter for ur chance to win a £250 wkly shopping spree at SHOPPING.co.uk, 08715705022, 1x150p/wk"
619,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,U have a friend who is looking 2 make contact with U-find out who they are and who is doing so on
620,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876","Mila, age23, blonde, new in the UK. I like to hang out with UK guys. if u like to have a chat with me. Text me to 69866.18. 1st 5free. £1.50 increments. Help08718728876"
621,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50,"Well done ENGLAND! Get your official phone number, phone number or colour of your choice on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt £0.99 W111WX £1.50"
622,FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop,Make a CALL to No: 86888 & claim your maximum of 3 hours talk time to use from your phone right now! No inc 3hrs.
623,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,Take the Quiz! Win a super Sony DVD recorder if you take advantage of the MQUIZ to B
624,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,You can also contact a customer service representative on 0800 169 6031 between 10am-9pm as you have a guaranteed £1000 cash or £5000 credit card.
625,Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,"Todays Voda customers with 7634 are eligible to receive a £350 voucher. If you have a dispute, please call 08712300220. The code 7684 standard rates apply."
626,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,You are being ripped off! Get your money back from the bank call 08717509990 for only 3
627,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,We tried to contact you re your reply to our offer of a discount of up to 750% at any time. Please send us your Price of a Rental Camcorder Reply or call 08000930705
628,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,"A £400,000 REWARD IS WAITING FOR YOU! The Daily Mail has randomly picked winners from our loyal readers to receive a £400 reward. Just call 09066380611"
629,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,Date: 03/11/04 2003 Statement: This shows that the following person is S. I. M. Call 08718738002 Identifier Code: 48922 Expires 21/10/04
630,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114","Disclaimer: We recently tried to make a donation to charity but were unable to do so, please call 07099833605 to donate."
631,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text","Hi babe its me, how r u? I was with you on saturday night, it was great! How was your weekend? U been missing me? I love you!ReplyDeleteReplies stop 150p/text"
632,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU","URGENT! I have been contacted by No 07808726822 and was awarded a £2,000 reward. Caller ID expired on 02/09/03! This is my 2nd attempt to contact YOU! Call 0871-872-9758."
633,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk","UPDATE: We have a winner! T.J. won an award! More exciting prizes soon, so keep an eye on Twitter or visit us!"
634,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply","FREE! Get Rayman 4 FREE from the Games Arcade. 1st get UR games, Reply, then save & Press 0 key for Arcade."
635,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call","Get the latest mobile news and updates. Update to the latest version of your phones for free. KEEP UR SAME NUMBER, Get extra free mins/texts. Text me for a call"
636,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,Buy Space Invaders 4 a chance 2 win Arcade Game of the Day 0 for £2 Arcade (std WAP) See o2.co.uk/games-of-the-day + No purchase
637,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,"For more information - if you are interested in SiPix, call 09061221066 fromm landline.com within 28 days."
638,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,Your weekly color tones are ready to go!This weeks Color Tones include: 1) Crazy Frog-AXEL>>> 2) Akon-Lonely>>> 3) Blackbird-Tones >>>More info: n
639,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..,Cashbin (Get lots of cash for this giveaway at www.cashbin.co.uk) Welcome to the new year! We have got our biggest and best EVER cash to give away!!
640,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,"URGENT! The Mobile World Congress has been awarded with a £2000,000 prize. Call 09061790121 from land line. The event is scheduled for 12hrs only 150ppm"
641,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,Thanks 4 your continued support Your support of this site will help u in2 our future 4 £100 gift card Name Email Address * NEW USERS txt ans to 80082
642,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,The unique ID is subject to removal. STOP to the customer ID 08708034412
643,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+","- -call 09066649731from - Your complimentary 4* Ibiza Holiday or £10,000 package will await you. T&Cs PO BOX 434 SK3, 150ppm."
644,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,"UPDATE: This is our 2nd attempt to contact you. Your £900 bill from YESTERDAY is still awaiting payment. To contact us, CALL NOW 09061702893"
645,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,What do you think? Would your phone be like a call from Santa Xmas Eve? Call 09077818151 to book you a flight that will last 3mins 30s T&C.
646,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,"PRIVATE! 08719180219 Statement for 078498****7 shows 786 unredeemed addresses. To contact us, call 08619180319 Identifier Code: 45239 Date: 06.05.05"
647,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,The Babe @ fgkslpo
648,u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),"u r a r U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) to a country of 2,000 people. ( )"
649,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",All Mobiles from 4-tc MUST GO! Txt: NOKIA to No: 89545 & get yours today! From ONLY: www.4-tc.biz/txt
650,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,PRIVATE! The following is a Statement of Interest that shows the following information: S. I. M. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
651,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,"YOU HAVE WON! As part of our Vodafone Giveaway, our team has picked YOU to win a £150 voucher. To enter, there is no cost. Just call 09061743386"
652,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,**FREE MESSAGE**Thanks for using the Txt Service.... 150p/MSGRCVD 2.0 for an Auction txt Service 2 Unsubscribe txt service 08718726270
653,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,Boredom: 0871750.77.11! Free 10p/min only from landlines!
654,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,She is inviting you to be her guest by calling YES-910 or emailing her. See her: Send email to FRND to 62468
655,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1st Tone 1 POLYPHONIC tone 4 ur txt every week! Just txt PT2 to 87575. 1st Tone FREE! so get txtin now and tell ur friends at 150p/tone. 2nd Tone FREE!
656,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,"You can contact Vodafone directly or by calling with 4882-7000 to a receive a £350 reward. If your number is incorrect, call 09064019014 to receive your £350 award."
657,Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,"Want the latest news, weather, and features delivered to your inbox. Half price line rental? Reply or call 08000930705 for more information tomorrow"
658,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18","ou can also get the latest Nokia Phone, a 40GB iPod MP3 player, and a £500 Txt subscription to the Nokia 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
659,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,* FREE* POLYPHONIC RINGTONE! Text SUPER to 87131 to get your FREE POLY PHONIC of the Year now! Get a free NR31 7ZS subscription!
660,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,Warner Village 83118 C Colin Farrell is coming to SWAT this wkend @WarnerVillage & get 1 free Popcorn!Just show up 4-7/12. C t&c @kiosk.com/warner-village.New mreel offers
661,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",Goal! Bergkamp scores 4 minutes into the second half v Anderlecht 2 mins later scores with a simple shot from 6 yards from a pass by Bergkamp to give the visitors a 2 goal lead after 78 mins.
662,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate","This is the 2nd time I have tried 2 u. U have won the 750 Pound prize. If u think this is easy, call 08712101358 NOW! Only 10p per person."
663,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!","Got what it takes 2 take part in the WRC? If you are interested in taking part U can contact Lucozade. Text RALLY LE to 61200 (25p), buy packs or lucozades.co.uk/wrc & we'll send u!"
664,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service","Hi, the rest of us are waiting for you to join us now for a great night chatting. send us a message to stop this service"
665,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,Great news! Call 08006344447 to claim your guaranteed £1000 CASH or £2000 CASH back to your bank NOW!
666,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...","Hi this is me. I will be sending you a free phone number in a couple of days, which will give you an access to my website."
667,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.","Welcome to O2, an O2 service with added features. You can now access our trained staff from your mobile by dialling 402."
668,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,Create a Voucher holder for your next project on Kickstarter Use the following link on your page 2 enjoy a 2 4 1 2
669,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,URGENT! We are trying to get you to U. Todays Bank so that you have won a £2000 cheque. Call 09058094507 from land line. Valid 12hrs only
670,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill,You can donate £2.50 to UNICEF's Children's Fund. You can also donate to the fund by texting DONATE to 864233. £ 2.50 will be added to your next bill
671,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,goldviking.com is inviting you to be his friend YES-762 or NO-762 See him: Facebook | Twitter Send a message to 62468
672,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,Win a £350 award - Todays Voda customers with a valid ending date are selected to receive a FREE voucher. If you have a valid date please call 08712300220 quoting claim code 3100.Download the app
673,CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16,CDs £500 of CD gift vouchers or £125 gift guaranteed & £100 wkly draw xt MUSIC to 87066 TnCs.
674,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,We have a guaranteed £1000 cash reward and a £2000 bonus. To contact us please call our customer service representative on 08714712412 between 10am-7pm Cost:
675,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,UPDATE: U've been disconnected. This is our final attempt to contact u! Txt CHAT to 86688 LDN.
676,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,Ur account is currently 500 GB - to get ur cash-in now send GO to your account only CC: 08718720201
677,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,PRIVATE! Call 08715203685 Identifier Code:4xx26 Expires 13/10/04 This shows an un-redeemed S.I.M.C. call. Number: 4xx26 CALL 087 152036 85 Identifier Number:4XX26Expires 13…10/03
678,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),"I'd like to tell you my deepest condolences. Call me 09094646631 just now. To contact me, call 08712460324."
679,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,You won't believe it but it's true. Go to G now to learn truly amazing things that will blow your mind.Download O2FWD only 18p/txt
680,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,Natalie is inviting you to be her guest on NO-164 or NO-165 See her: www.natalie.com STOP FRND to 62468
681,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,"HOW TO ENTER To get in touch, text HEART to 88888 now! T&C apply. Need help? Call 08701213186."
682,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,Double Orange & Double Txt & 1/2 price on Latest Orange & Txt Callers for the very latest price 08000839402 or
683,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,Free video camera with Half Price line rental for 12 mths and up from ntwk to 100 mths Call 08001950382 or 0800
684,83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541,"83039 62735=£450,000. See terms & conditions for more details. We claim you have your phone number which is 15541"
685,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,5p 4 alfie Moon's son is in need of help from ur mob. Tell ur m8s. Txt charity to 8007 for help or call charity for help. Phone zed 08701417012 profit to charity.
686,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.,"WIN a £200 Shopping spree every WEEK Starting today, play STORE to 88039. TsCs0871474032301"
687,"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921",This is the 2nd attempt to win this prize. You can have won this year's top prize of either £1000 cash or £200. Just call 09066361921
688,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,Do you want a New Year's Resolution 3510i? With 300 free minutes to any mobile + 100 free texts + Free calls + Free texts or call 08000930705.
689,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!","Click on the link to get a premium copy of the new no. 1 from Sugababes, a crazy Zebra animation, and a new Hoody for 4 FREE!"
690,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,This msg is not working properly. It has been resent as previous attempt failed due to network error Queries to reply
691,You have 1 new message. Please call 08715205273,I have no idea.
692,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906,"December only! Want to update your mobile 11mths+? You are entitled to update to the latest version of your mobile for Free! To download the latest Mobile Update, please contact us on 08002986906"
